test_id,n,alpha,rep,algorithm,iteration,weight_regime,metric_name,metric_value
C1,5000,1.5,22,SimpleAugmentingMatcher,-1,na,wall_clock_ms,18756.3
C1,5000,1.5,22,SimpleAugmentingMatcher,-1,na,matching_size,5000
C1,5000,1.5,22,HopcroftKarpMatcher,0,na,paths_found_per_phase,4957
C1,5000,1.5,22,HopcroftKarpMatcher,0,na,bfs_edges_visited,353553
C1,5000,1.5,22,HopcroftKarpMatcher,0,na,dfs_edges_visited,176884
C1,5000,1.5,22,HopcroftKarpMatcher,0,na,defect_at_iteration,43
C1,5000,1.5,22,HopcroftKarpMatcher,1,na,paths_found_per_phase,43
C1,5000,1.5,22,HopcroftKarpMatcher,1,na,bfs_edges_visited,164612
C1,5000,1.5,22,HopcroftKarpMatcher,1,na,dfs_edges_visited,34958
C1,5000,1.5,22,HopcroftKarpMatcher,1,na,defect_at_iteration,0
C1,5000,1.5,22,HopcroftKarpMatcher,-1,na,phase_count,2
C1,5000,1.5,22,HopcroftKarpMatcher,-1,na,main_loop_iters,2
C1,5000,1.5,22,HopcroftKarpMatcher,-1,na,total_bfs_edges_visited,518165
C1,5000,1.5,22,HopcroftKarpMatcher,-1,na,total_edges_visited,730007
C1,5000,1.5,22,HopcroftKarpMatcher,-1,na,matching_size,5000
C1,5000,1.5,22,HopcroftKarpMatcher,-1,na,wall_clock_ms,57.475
C1,5000,1.5,22,HopcroftKarpMatcher,-1,na,matching_size,5000
